dataset,size,algorithm,time_us,char_ops,sorted
reverse_sorted,2100,standard_merge_sort,464,18305,yes
reverse_sorted,2100,string_quick_sort,112,81008,yes
reverse_sorted,2100,string_merge_sort,470,30053,yes
reverse_sorted,2100,msd_radix_sort,339,10012,yes
reverse_sorted,2100,msd_radix_quick_sort,130,40005,yes
reverse_sorted,2200,standard_quick_sort,5270,2462983,yes
reverse_sorted,2200,standard_merge_sort,532,19669,yes
reverse_sorted,2200,string_quick_sort,124,86963,yes
reverse_sorted,2200,string_merge_sort,592,32233,yes
reverse_sorted,2200,msd_radix_sort,349,10498,yes
reverse_sorted,2200,msd_radix_quick_sort,135,41797,yes
reverse_sorted,2300,standard_quick_sort,5158,2690203,yes
reverse_sorted,2300,standard_merge_sort,513,20936,yes
reverse_sorted,2300,string_quick_sort,119,91785,yes
reverse_sorted,2300,string_merge_sort,524,34228,yes
reverse_sorted,2300,msd_radix_sort,379,10984,yes
reverse_sorted,2300,msd_radix_quick_sort,156,43775,yes
reverse_sorted,2400,standard_quick_sort,5543,2927094,yes
reverse_sorted,2400,standard_merge_sort,553,21922,yes
reverse_sorted,2400,string_quick_sort,133,100998,yes
reverse_sorted,2400,string_merge_sort,558,35986,yes
reverse_sorted,2400,msd_radix_sort,389,11458,yes
reverse_sorted,2400,msd_radix_quick_sort,150,45629,yes
reverse_sorted,2500,standard_quick_sort,6048,3174015,yes
reverse_sorted,2500,standard_merge_sort,573,22953,yes
reverse_sorted,2500,string_quick_sort,142,107613,yes
reverse_sorted,2500,string_merge_sort,580,37705,yes
reverse_sorted,2500,msd_radix_sort,407,11960,yes
reverse_sorted,2500,msd_radix_quick_sort,155,47442,yes
reverse_sorted,2600,standard_quick_sort,6548,3430932,yes
reverse_sorted,2600,standard_merge_sort,601,24259,yes
reverse_sorted,2600,string_quick_sort,150,115089,yes
reverse_sorted,2600,string_merge_sort,607,39703,yes
reverse_sorted,2600,msd_radix_sort,428,12450,yes
reverse_sorted,2600,msd_radix_quick_sort,160,49246,yes
reverse_sorted,2700,standard_quick_sort,7024,3697972,yes
reverse_sorted,2700,standard_merge_sort,623,25337,yes
reverse_sorted,2700,string_quick_sort,160,122211,yes
reverse_sorted,2700,string_merge_sort,630,41501,yes
reverse_sorted,2700,msd_radix_sort,442,12930,yes
reverse_sorted,2700,msd_radix_quick_sort,166,51150,yes
reverse_sorted,2800,standard_quick_sort,7390,3975164,yes
reverse_sorted,2800,standard_merge_sort,656,26314,yes
reverse_sorted,2800,string_quick_sort,179,132047,yes
reverse_sorted,2800,string_merge_sort,659,43130,yes
reverse_sorted,2800,msd_radix_sort,464,13428,yes
reverse_sorted,2800,msd_radix_quick_sort,174,53150,yes
reverse_sorted,2900,standard_quick_sort,7934,4262277,yes
reverse_sorted,2900,standard_merge_sort,679,27164,yes
reverse_sorted,2900,string_quick_sort,185,141754,yes
reverse_sorted,2900,string_merge_sort,688,44648,yes
reverse_sorted,2900,msd_radix_sort,475,13910,yes
reverse_sorted,2900,msd_radix_quick_sort,177,55079,yes
reverse_sorted,3000,standard_quick_sort,8516,4559197,yes
reverse_sorted,3000,standard_merge_sort,699,28061,yes
reverse_sorted,3000,string_quick_sort,193,148684,yes
reverse_sorted,3000,string_merge_sort,710,46137,yes
reverse_sorted,3000,msd_radix_sort,495,14366,yes
reverse_sorted,3000,msd_radix_quick_sort,187,57132,yes
almost_sorted,100,standard_quick_sort,4,1820,yes
almost_sorted,100,standard_merge_sort,9,657,yes
almost_sorted,100,string_quick_sort,1,910,yes
almost_sorted,100,string_merge_sort,9,1028,yes
almost_sorted,100,msd_radix_sort,16,482,yes
almost_sorted,100,msd_radix_quick_sort,4,953,yes
almost_sorted,200,standard_quick_sort,11,4484,yes
almost_sorted,200,standard_merge_sort,22,1560,yes
almost_sorted,200,string_quick_sort,2,1978,yes
almost_sorted,200,string_merge_sort,21,2545,yes
almost_sorted,200,msd_radix_sort,32,976,yes
almost_sorted,200,msd_radix_quick_sort,8,1872,yes
almost_sorted,300,standard_quick_sort,18,7874,yes
almost_sorted,300,standard_merge_sort,39,2497,yes
almost_sorted,300,string_quick_sort,4,3273,yes
almost_sorted,300,string_merge_sort,39,4128,yes
almost_sorted,300,msd_radix_sort,48,1454,yes
almost_sorted,300,msd_radix_quick_sort,12,2743,yes
almost_sorted,400,standard_quick_sort,27,11771,yes
almost_sorted,400,standard_merge_sort,50,3441,yes
almost_sorted,400,string_quick_sort,6,4871,yes
almost_sorted,400,string_merge_sort,52,5726,yes
almost_sorted,400,msd_radix_sort,63,1930,yes
almost_sorted,400,msd_radix_quick_sort,17,3707,yes
almost_sorted,500,standard_quick_sort,37,16296,yes
almost_sorted,500,standard_merge_sort,70,4499,yes
almost_sorted,500,string_quick_sort,10,6628,yes
almost_sorted,500,string_merge_sort,72,7413,yes
almost_sorted,500,msd_radix_sort,79,2420,yes
almost_sorted,500,msd_radix_quick_sort,21,4604,yes
almost_sorted,600,standard_quick_sort,47,20234,yes
almost_sorted,600,standard_merge_sort,90,5555,yes
almost_sorted,600,string_quick_sort,12,8484,yes
almost_sorted,600,string_merge_sort,91,9225,yes
almost_sorted,600,msd_radix_sort,98,2914,yes
almost_sorted,600,msd_radix_quick_sort,27,5528,yes
almost_sorted,700,standard_quick_sort,60,25656,yes
almost_sorted,700,standard_merge_sort,112,6818,yes
almost_sorted,700,string_quick_sort,15,10726,yes
almost_sorted,700,string_merge_sort,117,11297,yes
almost_sorted,700,msd_radix_sort,118,3406,yes
almost_sorted,700,msd_radix_quick_sort,32,6487,yes
almost_sorted,800,standard_quick_sort,70,31268,yes
almost_sorted,800,standard_merge_sort,130,7959,yes
almost_sorted,800,string_quick_sort,18,13169,yes
almost_sorted,800,string_merge_sort,134,13418,yes
almost_sorted,800,msd_radix_sort,135,3908,yes
almost_sorted,800,msd_radix_quick_sort,38,7459,yes
almost_sorted,900,standard_quick_sort,84,36943,yes
almost_sorted,900,standard_merge_sort,156,9177,yes
almost_sorted,900,string_quick_sort,22,15891,yes
almost_sorted,900,string_merge_sort,156,15489,yes
almost_sorted,900,msd_radix_sort,152,4398,yes
almost_sorted,900,msd_radix_quick_sort,41,8421,yes
almost_sorted,1000,standard_quick_sort,99,42573,yes
almost_sorted,1000,standard_merge_sort,172,10293,yes
almost_sorted,1000,string_quick_sort,27,18811,yes
almost_sorted,1000,string_merge_sort,176,17363,yes
almost_sorted,1000,msd_radix_sort,171,4892,yes
almost_sorted,1000,msd_radix_quick_sort,48,9311,yes
almost_sorted,1100,standard_quick_sort,111,49052,yes
almost_sorted,1100,standard_merge_sort,206,11329,yes
almost_sorted,1100,string_quick_sort,34,22233,yes
almost_sorted,1100,string_merge_sort,204,19096,yes
almost_sorted,1100,msd_radix_sort,188,5376,yes
almost_sorted,1100,msd_radix_quick_sort,51,10231,yes
almost_sorted,1200,standard_quick_sort,124,55295,yes
almost_sorted,1200,standard_merge_sort,231,12371,yes
almost_sorted,1200,string_quick_sort,38,25772,yes
almost_sorted,1200,string_merge_sort,228,21017,yes
almost_sorted,1200,msd_radix_sort,205,5858,yes
almost_sorted,1200,msd_radix_quick_sort,56,11136,yes
almost_sorted,1300,standard_quick_sort,143,62274,yes
almost_sorted,1300,standard_merge_sort,251,13482,yes
almost_sorted,1300,string_quick_sort,43,29651,yes
almost_sorted,1300,string_merge_sort,250,22939,yes
almost_sorted,1300,msd_radix_sort,225,6336,yes
almost_sorted,1300,msd_radix_quick_sort,60,12097,yes
almost_sorted,1400,standard_quick_sort,158,68977,yes
almost_sorted,1400,standard_merge_sort,279,14875,yes
almost_sorted,1400,string_quick_sort,53,33956,yes
almost_sorted,1400,string_merge_sort,277,25289,yes
almost_sorted,1400,msd_radix_sort,240,6806,yes
almost_sorted,1400,msd_radix_quick_sort,67,12978,yes
